asin	relation	attribute
042526596X	description	She saw it and blinked. Carefully watching the back of the professor as he drew endless circles around endless Italian words, she brought the paper to her lap where she quietly unfolded it.
042526596X	description	Emerson is an ass.
042526596X	description	No one would have noticed because no one was looking at her, except for the man at her side. As soon as she read those words, a different kind of flush appeared on her face, two pink clouds on the curve of her cheeks, and she smiled. Not enough to show teeth or what could be dimples or a laugh line or two, but a smile nonetheless.
042526596X	description	She raised her large eyes to the man next to her and looked at him shyly. A wide, friendly grin spread across his face.
042526596X	description	“Something funny, Miss Mitchell?”
042526596X	description	Her brown eyes dilated in terror. Her new friend’s smile quickly disappeared as he turned to look at the professor.
042526596X	description	She knew better now than to look up at the professor’s cold blue eyes. Instead, she put her head down and worried her plump lower lip between her teeth, back and forth and back and forth.
042526596X	description	“It was my fault, Professor. I was just asking what page we were on,” the friendly man interceded on her behalf.
042526596X	description	“Hardly an appropriate question from a doctoral student, Paul. But since you asked, we began with the first canto. I trust you can find it without Miss Mitchell’s help. Oh, and Miss Mitchell?”
042526596X	description	The frightened rabbit’s pony tail trembled ever so slightly as she lifted her gaze.
042526596X	description	“See me in my office after class.”
0425266516	title	Gabriel's Redemption (Gabriel's Inferno)
0425266516	description	Sylvain Renard is also the author of Gabriel's Rapture and Gabriel's Inferno.
0425269841	title	Down to You (A Bad Boys Novel)
0425269841	description	Praise for the Bad Boys novelsScorching hotinsanely intenseand it is shocking. Shocking!The Bookish BabeI definitely did NOT see the twists coming.The Book List ReviewsBrilliant.The Book GoddessLeighton never gives the reader a chance to catch their breathThe plot has so many unexpected twists and turns that my heart was racing alongfast paced, edge of your seat thrills. Yes, there is sex, OMG tongue hanging out of mouth, scorching sex.Literati Literature LoversWell, I drank this one down in one huge gulpand it was delicious seriously scandalicious.Scandalicious Book ReviewsLeighton continues her epic action and romance with characters that just keep getting hotter and hotter.A Life Bound by BooksDeliciousI stopped reading in order to grab a cold beer and cool offthe twists and turns on the plot line are brilliant.Review EnthusiastOMG! It was freakin hot!...M. Leighton knows how to make sexy bad-boys that can steal your breath with a single lookwill have you hooked after page one! It was a fantastic book!Nettes BookshelfSteamy, sexy and super hot! M. Leighton completely and absolutely knocked [it] out of the park.The Bookish BrunetteM. Leighton is quickly becoming one of my favorite contemporary romance writersscorching hotan emotional roller-coaster.Reading AngelA funny, sexy, suspenseful read.Romance Reviews Book BlogI devoured it, and Im pretty sure you will too.For Love and Books
0425269841	description	New York Times and USA Today bestselling author M. Leighton is a native of Ohio. She relocated to the warmer climates of the South, where she can be near the water all summer and miss the snow all winter. Possessed of an overactive imagination from early in her childhood, Michelle finally found an acceptable outlet for her fantastical visions: literary fiction. Having written over a dozen novels, these days Michelle enjoys letting her mind wander to more romantic settings with sexy Southern guys, much like the one she married and the ones you'll find in her latest books. When her thoughts aren't roaming in that direction, she'll be riding wild horses, skiing the slopes of Aspen or scuba diving with a hot rock star, all without leaving the cozy comfort of her office.
0425272362	title	Reaper's Stand (Reapers Motorcycle Club)
0425272362	description	Praise for the New York Times bestselling Reapers Motorcycle Club SeriesRaw emotion and riveting characters, I fell in love from page one!Katy Evans, New York Times bestselling authorMixes a super-hot bad guy, a struggling young single mother, and sex that blisters the imagination, resulting in a thrill ride as raw as it is well written.Publishers WeeklyJoanna Wylde has a great voice in this genreThis is such a well-done motorcycle club book.USA TodayMs. Wyldes world-building skills are exceptional. She will completely take you into the biker world where the motorcycle club has [its] own values, rules, laws, and ways of doing things.A Bookish EscapeA really good bad-boy biker book! Exactly what Ive been looking to read.Maryses Book Blog
0425272362	description	Joanna Wylde has written several erotic romances for Ellora's Cave and lives in Idaho. She is also the author ofReaper's LegacyandReaper's Property.
